company_name,live_evidence_available,successful_sources,evidence_keywords,website_title,news_headlines,live_evidence_summary
Tata Motors,True,2,"['commercial vehicle', 'customer', 'electric', 'ev', 'mobility', 'quality']","Tata Motors – Largest Automobile Manufacturer, Biggest Automobile Company in India","June 2026 car sales: Tata narrowly retains second place over Mahindra - Autocar India | Tata Motors CV Sales Grow 27% in Q1 FY27; June 2026 Volumes Surge 35% YoY - Autopunditz | Tata Motors PV sales jump 69% in June as EVs surge - MSN | Top 10 selling cars in June: Tata dominates with Punch, Nexon in lead; Maruti has 6 models as Creta drops... - Moneycontrol.com | Maruti stays on top, Tata edges past Mahindra in June PV sales race - ET Auto","June 2026 car sales: Tata narrowly retains second place over Mahindra - Autocar India | Tata Motors CV Sales Grow 27% in Q1 FY27; June 2026 Volumes Surge 35% YoY - Autopunditz | Tata Motors PV sales jump 69% in June as EVs surge - MSN | Top 10 selling cars in June: Tata dominates with Punch, Nexon in lead; Maruti has 6 models as Creta drops... - Moneycontrol.com | Maruti stays on top, Tata edges past Mahindra in June PV sales race - ET Auto Tata Motors – Largest Automobile Manufacturer, Biggest Automobile Company in India From Vision to Velocity Welcome to Tata Motors Engineered for Evolution Systems in Motion Movement that Matters Quality is first engineered, and then it is inspected Our roadmap to Net Zero United by passion and talent Corporate Responsibility Overview Planet resilience Working with communities Governance ESG Archive Working with communities Careers Overview Life @ Tata Motors Openings @ Tata Motors Saksham - Earn"
Mahindra & Mahindra,True,2,"['dealer', 'electric', 'mobility', 'service']",The Mahindra Group Official Website | Together We Rise,"Mahindra Auto clocks 60,393 SUVs, a growth of 28% and 1,06,207 total vehicle sales, a growth of 37% in June 2026 - Mahindra | Mahindra Auto Records 28% SUV Growth, Crosses 1.06 Lakh Total Vehicle Sales in June 2026 - Autopunditz | Mahindra & Mahindra auto sales jump 37% in Jun'26 - Business Standard | Mahindra & Mahindra Ltd strategy shapes the long-term story for investors - AD HOC NEWS | Tata, Mahindra dominate India's mass electric car market as global rivals struggle to catch up - Moneycontrol.com","The Mahindra Group Official Website | Together We Rise A technology & innovation-led, global, federation of companies, that provides a wide range of products, services & possibilities, enabling people to Rise Purpose Led, Performance Driven, Future Ready CLUB MAHINDRA'S TRANSITION TO ELECTRIC 70 LAKH TRACTORS SOLD M.TECH AND PHD IN SUSTAINABILITY MAHINDRA SEASON OF FESTIVALS 2026-27 MAHINDRA BEACONHILL SUSTAINABILITY LINKED DEALER FINANCING PROGRAM TECH MAHINDRA GLOBAL CHESS LEAGUE MAHINDRA'S JU Mahindra Auto clocks 60,393 SUVs, a growth of 28% and 1,06,207 total vehicle sales, a growth of 37% in June 2026 - Mahindra | Mahindra Auto Records 28% SUV Growth, Crosses 1.06 Lakh Total Vehicle Sales in June 2026 - Autopunditz | Mahindra & Mahindra auto sales jump 37% in Jun'26 - Business Standard | Mahindra & Mahindra Ltd strategy shapes the long-term story for investors - AD HOC NEWS | Tata, Mahindra dominate India's mass electric car market as global rivals struggle to catch up - Moneycontr"
Maruti Suzuki India,True,2,[],"Maruti Suzuki India Corporate - Discover Arena, NEXA cars, Commercial and True Value","Maruti Suzuki inaugurates Kharkhoda plant in India - Automotive World | Maruti Suzuki’s ₹35,000 Crore Kharkhoda Mega Plant to be Inaugurated Today by PM Modi and Japan PM Sanae Takaichi - Autopunditz | Maruti stays on top, Tata edges past Mahindra in June PV sales race - ET Auto | Maruti Suzuki India Sales Jump 19.3% in June to 200,390 Units - Rediff MoneyWiz | Maruti Suzuki, Toyota India execs defend E20 petrol: ‘No problem in terms of wear & tear, corrosion' - livemint.com","Maruti Suzuki India Corporate - Discover Arena, NEXA cars, Commercial and True Value Explore Maruti Suzuki India and get exclusive information on hatchbacks, sedans, SUVs, strong hybrid cars, S-CNG cars, latest offers and more. Explore channels like NEXA, Arena, Commercial and True Value. Maruti Suzuki India Business Channels More from Maruti Suzuki Discover Maruti Suzuki Cars our Values /content/arena-eds/com/in/en/arena/victoris https://www.nexaexperience.com/e-vitara A premium, innovative and Maruti Suzuki inaugurates Kharkhoda plant in India - Automotive World | Maruti Suzuki’s ₹35,000 Crore Kharkhoda Mega Plant to be Inaugurated Today by PM Modi and Japan PM Sanae Takaichi - Autopunditz | Maruti stays on top, Tata edges past Mahindra in June PV sales race - ET Auto | Maruti Suzuki India Sales Jump 19.3% in June to 200,390 Units - Rediff MoneyWiz | Maruti Suzuki, Toyota India execs defend E20 petrol: ‘No problem in terms of wear & tear, corrosion' - livemint.com"
Ashok Leyland,True,2,"['commercial vehicle', 'dealer', 'ev', 'manufacturing', 'mobility']","Ashok Leyland | Commercial Vehicles, Buses, Trucks & Mobility Solutions","Ashok Leyland launches India’s first air suspension trucks - Automotive World | Ashok Leyland introduces India's first air suspension range of trucks - Business Standard | Ashok Leyland opens 13th LCV dealership in Gujarat with Jamnagar facility - Prittle Prattle News | Ashok Leyland launches India’s first 45T, 46T and 49T air-suspension trucks - HT Auto | India's Ashok Leyland posts record quarterly profit, revenue on strong vehicle demand - Reuters","Ashok Leyland launches India’s first air suspension trucks - Automotive World | Ashok Leyland introduces India's first air suspension range of trucks - Business Standard | Ashok Leyland opens 13th LCV dealership in Gujarat with Jamnagar facility - Prittle Prattle News | Ashok Leyland launches India’s first 45T, 46T and 49T air-suspension trucks - HT Auto | India's Ashok Leyland posts record quarterly profit, revenue on strong vehicle demand - Reuters Ashok Leyland | Commercial Vehicles, Buses, Trucks & Mobility Solutions Explore Ashok Leyland’s full range of trucks, buses, EVs, and alternate fuel solutions. A Hinduja Group flagship delivering innovation, reliability, and global mobility leadership. End to end solutions Trending Products Newsroom Our Offerings Innovation Sustainability Manufacturing Plants Our Core Values Trucks ICV Trucks ICV Trucks View More Boss Partner Super ecomet Star ICV Tippers Haulage Haulage View More AVTR 4525H DTL"
Bajaj Auto,True,2,"['customer', 'electric', 'manufacturing', 'service']","Bajaj Auto - Bikes, Scooters, Three Wheelers & Qute (2026)","Bajaj Auto domestic sales rise 11% in June to 2.10 lakh units - ET Auto | Bajaj Auto Eyes New Manufacturing Plant In South India; Tamil Nadu And Telangana Emerge As Front-Runners - Autopunditz | Indian auto giant Bajaj Auto hit by ransomware incident - The Record from Recorded Future News | Bajaj Auto hit by ransomware attack, operations unaffected - Autocar India | Bajaj Auto, India restores full operations after ransomware attack - marklines.com","Bajaj Auto domestic sales rise 11% in June to 2.10 lakh units - ET Auto | Bajaj Auto Eyes New Manufacturing Plant In South India; Tamil Nadu And Telangana Emerge As Front-Runners - Autopunditz | Indian auto giant Bajaj Auto hit by ransomware incident - The Record from Recorded Future News | Bajaj Auto hit by ransomware attack, operations unaffected - Autocar India | Bajaj Auto, India restores full operations after ransomware attack - marklines.com Bajaj Auto - Bikes, Scooters, Three Wheelers & Qute (2026) Discover Bajaj Auto motorcycles, scooters, electric vehicles, three wheelers & qute. Explore latest models, features, prices, offers & book a test ride online. Our Products Motorcycles Chetak 3 Wheelers & Qute Ktm Triumph International Business Start Your Exchange CHECK FINANCE OFFERS Call Us: +91 7219821111 Email: customerservice@bajajauto.co.in"
TVS Motor Company,True,2,"['ev', 'manufacturing']","Best Two Wheeler In India- Bike, Scooter, Motorcycle | TVS Motor","TVS Motor Company hits record quarterly sales of 1.63 Million - Manufacturing Today India | 'Ethanol blending done on scientific evidence, extensive testing': Industry experts defend E20 fuel - The New Indian Express | Robust overseas show helps TVS emerge top 2-wheeler company in India - The Economic Times | TVS Motor vrooms past Hero, Honda to take top slot in 2-wheeler sales - Business Standard | India's e2W market penetration races towards 10% mark; TVS, Bajaj, Ather lead June sales - ET Auto","TVS Motor Company hits record quarterly sales of 1.63 Million - Manufacturing Today India | 'Ethanol blending done on scientific evidence, extensive testing': Industry experts defend E20 fuel - The New Indian Express | Robust overseas show helps TVS emerge top 2-wheeler company in India - The Economic Times | TVS Motor vrooms past Hero, Honda to take top slot in 2-wheeler sales - Business Standard | India's e2W market penetration races towards 10% mark; TVS, Bajaj, Ather lead June sales - ET Aut Best Two Wheeler In India- Bike, Scooter, Motorcycle | TVS Motor TVS Motor Company - One of the largest 2-wheeler companies in the world. Discover our racing-inspired Apache bikes, commuter motorcycles, scooters, mopeds, & 3-wheelers. Visit Now! Select Country Africa Asia Europe Middle East and CIS North America South America South East Asia TVS King Duramax Plus"
Hero MotoCorp,True,2,"['ev', 'supply chain', 'two-wheeler']",Hero MotoCorp - India's Leading Two-Wheeler Manufacturer,"Hero MotoCorp to Invest Over ₹3,200 Crore in Andhra Pradesh; New Global Parts Centre to Strengthen EV & Supply Chain Play - Autopunditz | Hero MotoCorp Invests Rs 3200 Crore in Andhra - Passionate In Marketing | India’s auto giants refute concerns of E20 damage - Business Today | Stocks To Watch Today: Maruti, NMDC, Hero MotoCorp, Coal India, Airtel In Focus - News18 | Hero MotoCorp elevates Sanjay Singh to Deputy General Manager - afaqs!","Hero MotoCorp to Invest Over ₹3,200 Crore in Andhra Pradesh; New Global Parts Centre to Strengthen EV & Supply Chain Play - Autopunditz | Hero MotoCorp Invests Rs 3200 Crore in Andhra - Passionate In Marketing | India’s auto giants refute concerns of E20 damage - Business Today | Stocks To Watch Today: Maruti, NMDC, Hero MotoCorp, Coal India, Airtel In Focus - News18 | Hero MotoCorp elevates Sanjay Singh to Deputy General Manager - afaqs! Hero MotoCorp - India's Leading Two-Wheeler Manufacturer Explore the world of Hero MotoCorp, India's favorite two-wheeler manufacturer. Explore our range of stylish and powerful two-wheelers. Find your dream ride now! Please Select Your Country Hero Premia - A new horizon of experiences Hero Premia - A new horizon of experiences Accessories Merchandise GoodLife"
Eicher Motors,True,1,['ev'],,"Vikram Lal and Family: The Business Dynasty Behind Royal Enfield’s ₹90,000-Crore Fortune - Autopunditz | Eicher Motors hits record ₹50,000 crore revenue in FY26 - ET Auto | Eicher Motors and Volvo Group Establish Vehicle Financing Joint Venture in India - Autocar Professional | Volvo Group, Eicher form India financing venture - Automotive World | Five Stocks To Buy: Eternal, Trent, Eicher Motors And More | June 22, 2026 - NDTV Profit","Vikram Lal and Family: The Business Dynasty Behind Royal Enfield’s ₹90,000-Crore Fortune - Autopunditz | Eicher Motors hits record ₹50,000 crore revenue in FY26 - ET Auto | Eicher Motors and Volvo Group Establish Vehicle Financing Joint Venture in India - Autocar Professional | Volvo Group, Eicher form India financing venture - Automotive World | Five Stocks To Buy: Eternal, Trent, Eicher Motors And More | June 22, 2026 - NDTV Profit"
Hyundai Motor India,True,2,"['battery', 'dealer', 'electric', 'ev', 'production', 'service', 'supplier']","Hyundai Cars: Sedan, SUV, Hatchback, EV | Hyundai Motor India","Hyundai Motor India Reports 51,335 Sales in June 2026 Despite Production Disruption - Autopunditz | HMIL introduces Battery-as-a-Service (BaaS) for CRETA Electric starting at INR 10.99 lakhs - hyundai.com | Hyundai Motor India posts June sales of 51,335 units despite supplier fire disruption - The Economic Times | Hyundai Motor India sales decline 10% to 39,635 units in June - ET Auto | Hyundai Motor India Posts Total Sales of 51,335 Units in June - HDFC Sky","Hyundai Motor India Reports 51,335 Sales in June 2026 Despite Production Disruption - Autopunditz | HMIL introduces Battery-as-a-Service (BaaS) for CRETA Electric starting at INR 10.99 lakhs - hyundai.com | Hyundai Motor India posts June sales of 51,335 units despite supplier fire disruption - The Economic Times | Hyundai Motor India sales decline 10% to 39,635 units in June - ET Auto | Hyundai Motor India Posts Total Sales of 51,335 Units in June - HDFC Sky Hyundai Cars: Sedan, SUV, Hatchback, EV | Hyundai Motor India Visit Hyundai India website, check offers and book new Hyundai car online. Find nearest dealer/showroom and request a latest Hyundai model test drive now. Hyundai Cars Experience Innovation with Hyundai Cars WHAT'S NEW See what's happening The new Hyundai EXTER is here to redefine the compact SUV experience SOCIAL Check out what's trending Hyundai Blog Best Sunroof Car Under 10 Lakh in India 7-seater Car with Sunroof in India Manual G"
Toyota Kirloskar Motor,True,2,"['dealer', 'manufacturing', 'service']",Toyota India | Official Website,"Contaminated fuel, not E20, responsible for vehicle issue: Toyota Kirloskar Motor - The Economic Times | TToyota June 2026 Sales: TKM Registers 31,016 Units, Domestic Sales Up 8% YoY - Autopunditz | Toyota Kirloskar Motor Registers 7% YoY Growth in June 2026 - ACKO Drive | 'It's A Myth': Toyota Kirloskar Top Boss Clears Air On E20 Damage, Says Fuel 'Safe For Old And New Cars' - ETV Bharat | Toyota Kirloskar Motor crosses 31,000 units in June - Manufacturing Today India","Contaminated fuel, not E20, responsible for vehicle issue: Toyota Kirloskar Motor - The Economic Times | TToyota June 2026 Sales: TKM Registers 31,016 Units, Domestic Sales Up 8% YoY - Autopunditz | Toyota Kirloskar Motor Registers 7% YoY Growth in June 2026 - ACKO Drive | 'It's A Myth': Toyota Kirloskar Top Boss Clears Air On E20 Damage, Says Fuel 'Safe For Old And New Cars' - ETV Bharat | Toyota Kirloskar Motor crosses 31,000 units in June - Manufacturing Today India Toyota India | Official Website Official Website of Toyota in India, Discover the Toyota range, Check out our wide range of services, Press Release, Find a dealer, Test Drive, Price List, Buy Now, Brochure, Exchange Car Discover the Toyota range What's Awesome More from Toyota Unfolds on 20-01-2022 Thank you for visiting Toyotabharat.com and showing interest in Toyota's range of products. We are processing your request and will get in touch with you shortly. We thank you once again for your time"
