company_name,segment,category,website,business_notes,products_services,manufacturing_footprint,growth_signals,likely_data_assets,initial_relevance_tags,evidence_notes,source_categories
Tata Motors,OEM,"Passenger Vehicles, Commercial Vehicles, EV",https://www.tatamotors.com,"Large Indian automotive OEM with passenger vehicles, commercial vehicles, EV portfolio, and broad market presence.",Passenger vehicles; Commercial vehicles; Electric vehicles; Fleet solutions,Large multi-location manufacturing and service network in India.,EV growth; commercial vehicle scale; large dealer and service network; connected mobility focus,Warranty claims; dealer service data; vehicle telematics; supplier data; production data,warranty; dealer_intelligence; supply_chain; ev,"High vehicle volumes, EV expansion, and service network scale indicate strong analytics opportunity.",Company website; SIAM; Business news; Financial portals
Mahindra & Mahindra,OEM,"SUVs, Commercial Vehicles, Tractors, EV",https://www.mahindra.com,"Major Indian automotive and farm equipment company with SUVs, commercial vehicles, tractors, and EV initiatives.",SUVs; Commercial vehicles; Tractors; Electric mobility,Large Indian manufacturing and dealer network across automotive and farm sectors.,SUV demand; EV initiatives; tractor leadership; rural and urban market spread,Warranty claims; dealer sales data; service data; supplier data; field performance data,dealer_intelligence; warranty; supply_chain; ev,Diverse portfolio and dealer network complexity create strong opportunity for dealer and warranty analytics.,Company website; SIAM; Business news; Financial portals
Maruti Suzuki India,OEM,Passenger Vehicles,https://www.marutisuzuki.com,"Leading passenger vehicle manufacturer in India with very large sales, service, and dealer footprint.",Passenger cars; CNG vehicles; Hybrid-ready platforms; After-sales service,Large manufacturing and dealer/service network in India.,high passenger vehicle volumes; service network scale; new model launches; hybrid and CNG focus,Warranty claims; dealer sales data; service records; customer satisfaction data,dealer_intelligence; warranty; aftermarket,High vehicle volumes and dealer/service scale make dealer intelligence and warranty analytics relevant.,Company website; SIAM; Business news; Financial portals
Ashok Leyland,OEM,"Commercial Vehicles, Buses, Trucks",https://www.ashokleyland.com,"Major commercial vehicle manufacturer with trucks, buses, fleet operations, and service network.",Trucks; Buses; Light commercial vehicles; Fleet services,Commercial vehicle manufacturing and service footprint across India.,commercial vehicle demand; fleet uptime focus; service network expansion; supply chain dependency,Fleet service data; warranty claims; dealer service data; supplier data,warranty; dealer_intelligence; supply_chain; field_service,Commercial vehicle uptime and service quality make warranty and field service intelligence highly relevant.,Company website; SIAM; Business news; Financial portals
Bajaj Auto,OEM,"Two-Wheelers, Three-Wheelers, EV",https://www.bajajauto.com,Major two-wheeler and three-wheeler manufacturer with domestic and export markets.,Motorcycles; Three-wheelers; Electric scooters; Exports,Large manufacturing and distribution network with export exposure.,EV two-wheeler growth; export markets; dealer network scale; aftermarket opportunity,Dealer sales data; service data; warranty claims; export logistics data,dealer_intelligence; warranty; supply_chain; ev,High dealer scale and EV expansion create strong dealer and warranty analytics use cases.,Company website; SIAM; Business news; Financial portals
TVS Motor Company,OEM,"Two-Wheelers, Three-Wheelers, EV",https://www.tvsmotor.com,Major two-wheeler and three-wheeler manufacturer with growing EV presence.,Motorcycles; Scooters; Three-wheelers; Electric scooters,Manufacturing and dealer footprint across India and international markets.,EV scooter growth; premium two-wheeler focus; dealer network expansion; export presence,Dealer sales data; service data; warranty claims; customer experience data,dealer_intelligence; warranty; ev; aftermarket,EV and dealer network growth create opportunities for warranty and dealer intelligence.,Company website; SIAM; Business news; Financial portals
Hero MotoCorp,OEM,"Two-Wheelers, EV",https://www.heromotocorp.com,Large two-wheeler manufacturer with extensive sales and service network.,Motorcycles; Scooters; Electric mobility; After-sales service,Large manufacturing and dealer/service network in India.,large two-wheeler volume; EV mobility initiatives; rural and urban dealer spread,Dealer sales data; service records; warranty claims; customer satisfaction data,dealer_intelligence; warranty; aftermarket; ev,Large dealer network and service base make dealer intelligence and warranty analytics relevant.,Company website; SIAM; Business news; Financial portals
Eicher Motors,OEM,"Motorcycles, Commercial Vehicles",https://www.eichermotors.com,Automotive company associated with motorcycles and commercial vehicle operations through related business interests.,Motorcycles; Commercial vehicles; After-sales service,Manufacturing and dealer/service presence across India.,premium motorcycle growth; commercial vehicle operations; service network scale,Dealer sales data; service records; warranty claims; supplier data,dealer_intelligence; warranty; supply_chain,Premium products and service experience create opportunities for dealer and warranty analytics.,Company website; SIAM; Business news; Financial portals
Hyundai Motor India,OEM,"Passenger Vehicles, EV",https://www.hyundai.com/in,Large passenger vehicle manufacturer in India with broad product range and dealer network.,Passenger cars; SUVs; Electric vehicles; After-sales service,Major manufacturing and dealer/service network in India.,SUV demand; EV models; large dealer network; export orientation,Warranty claims; dealer service data; sales data; customer experience data,dealer_intelligence; warranty; supply_chain; ev,Passenger vehicle scale and EV portfolio indicate strong analytics potential.,Company website; SIAM; Business news; Financial portals
Toyota Kirloskar Motor,OEM,"Passenger Vehicles, Hybrid Vehicles",https://www.toyotabharat.com,"Passenger vehicle manufacturer in India with focus on quality, hybrid technology, and customer experience.",Passenger vehicles; Hybrid vehicles; SUVs; After-sales service,Manufacturing and dealer/service network in India.,hybrid adoption; quality focus; dealer service operations; SUV demand,Warranty claims; dealer service data; customer satisfaction data; supplier data,warranty; dealer_intelligence; quality,"Quality, warranty, and dealer experience are strong analytical fit areas.",Company website; SIAM; Business news; Financial portals
