company_name,segment,primary_solution,secondary_solution,warranty_solution_fit_score,supply_chain_solution_fit_score,dealer_solution_fit_score,fit_reason,evidence_notes
Tata Motors,OEM,Warranty Analytics,Supply Chain Risk Prediction,9,9,8,"Tata Motors shows Medium warranty complexity, Medium supply chain complexity, Medium dealer/service complexity, Medium EV transition complexity, and Medium aftermarket opportunity.","High vehicle volumes, EV expansion, and service network scale indicate strong analytics opportunity. Live evidence keywords: commercial vehicle, customer, electric, ev, mobility, quality. Recent news evidence: June 2026 car sales: Tata narrowly retains second place over Mahindra - Autocar India | Tata Motors CV Sales Grow 27% in Q1 FY27; June 2026 Volumes Surge 35% YoY - Autopunditz | Tata Motors PV sales jump 69% in June as EVs surge - MSN | Top 10 selling cars in June: Tata dominates with Punch, Nexon in lead; Maruti has 6 models as Creta drops... - Moneycontrol.com | Maruti stays on top, Tata edges p. Live web summary: June 2026 car sales: Tata narrowly retains second place over Mahindra - Autocar India | Tata Motors CV Sales Grow 27% in Q1 FY27; June 2026 Volumes Surge 35% YoY - Autopunditz | Tata Motors PV sales jump 69% in June as EVs surge - MSN | Top 10 selling cars in June: Tata dominates with Punch, Nexon in lead; Maruti has 6 models as Creta drops... - Moneycontrol.com | Maruti stays on top, Tata edges p."
Mahindra & Mahindra,OEM,Warranty Analytics,Supply Chain Risk Prediction,8,8,8,"Mahindra & Mahindra shows Medium warranty complexity, Medium supply chain complexity, Medium dealer/service complexity, Medium EV transition complexity, and Medium aftermarket opportunity.","Diverse portfolio and dealer network complexity create strong opportunity for dealer and warranty analytics. Live evidence keywords: dealer, electric, mobility, service. Recent news evidence: Mahindra Auto clocks 60,393 SUVs, a growth of 28% and 1,06,207 total vehicle sales, a growth of 37% in June 2026 - Mahindra | Mahindra Auto Records 28% SUV Growth, Crosses 1.06 Lakh Total Vehicle Sales in June 2026 - Autopunditz | Mahindra & Mahindra auto sales jump 37% in Jun'26 - Business Standard | Mahindra & Mahindra Ltd strategy shapes the long-term story for investors - AD HOC NEWS | Tata, M. Live web summary: The Mahindra Group Official Website | Together We Rise A technology & innovation-led, global, federation of companies, that provides a wide range of products, services & possibilities, enabling people to Rise Purpose Led, Performance Driven, Future Ready CLUB MAHINDRA'S TRANSITION TO ELECTRIC 70 LAKH TRACTORS SOLD M.TECH AND PHD IN SUSTAINABILITY MAHINDRA SEASON OF FESTIVALS 2026-27 MAHINDRA BEACO."
Maruti Suzuki India,OEM,Dealer & Field Service Intelligence,Warranty Analytics,4,0,12,"Maruti Suzuki India shows Medium warranty complexity, Low supply chain complexity, High dealer/service complexity, Low EV transition complexity, and High aftermarket opportunity.","High vehicle volumes and dealer/service scale make dealer intelligence and warranty analytics relevant. Recent news evidence: Maruti Suzuki inaugurates Kharkhoda plant in India - Automotive World | Maruti Suzuki’s ₹35,000 Crore Kharkhoda Mega Plant to be Inaugurated Today by PM Modi and Japan PM Sanae Takaichi - Autopunditz | Maruti stays on top, Tata edges past Mahindra in June PV sales race - ET Auto | Maruti Suzuki India Sales Jump 19.3% in June to 200,390 Units - Rediff MoneyWiz | Maruti Suzuki, Toyota India execs de. Live web summary: Maruti Suzuki India Corporate - Discover Arena, NEXA cars, Commercial and True Value Explore Maruti Suzuki India and get exclusive information on hatchbacks, sedans, SUVs, strong hybrid cars, S-CNG cars, latest offers and more. Explore channels like NEXA, Arena, Commercial and True Value. Maruti Suzuki India Business Channels More from Maruti Suzuki Discover Maruti Suzuki Cars our Values /content/."
Ashok Leyland,OEM,Dealer & Field Service Intelligence,Warranty Analytics,6,6,10,"Ashok Leyland shows Medium warranty complexity, Medium supply chain complexity, High dealer/service complexity, Low EV transition complexity, and Medium aftermarket opportunity.","Commercial vehicle uptime and service quality make warranty and field service intelligence highly relevant. Live evidence keywords: commercial vehicle, dealer, ev, manufacturing, mobility. Recent news evidence: Ashok Leyland launches India’s first air suspension trucks - Automotive World | Ashok Leyland introduces India's first air suspension range of trucks - Business Standard | Ashok Leyland opens 13th LCV dealership in Gujarat with Jamnagar facility - Prittle Prattle News | Ashok Leyland launches India’s first 45T, 46T and 49T air-suspension trucks - HT Auto | India's Ashok Leyland posts record quarte. Live web summary: Ashok Leyland launches India’s first air suspension trucks - Automotive World | Ashok Leyland introduces India's first air suspension range of trucks - Business Standard | Ashok Leyland opens 13th LCV dealership in Gujarat with Jamnagar facility - Prittle Prattle News | Ashok Leyland launches India’s first 45T, 46T and 49T air-suspension trucks - HT Auto | India's Ashok Leyland posts record quarte."
Bajaj Auto,OEM,Supply Chain Risk Prediction,Warranty Analytics,8,10,8,"Bajaj Auto shows Medium warranty complexity, High supply chain complexity, Medium dealer/service complexity, Medium EV transition complexity, and Medium aftermarket opportunity.","High dealer scale and EV expansion create strong dealer and warranty analytics use cases. Live evidence keywords: customer, electric, manufacturing, service. Recent news evidence: Bajaj Auto domestic sales rise 11% in June to 2.10 lakh units - ET Auto | Bajaj Auto Eyes New Manufacturing Plant In South India; Tamil Nadu And Telangana Emerge As Front-Runners - Autopunditz | Indian auto giant Bajaj Auto hit by ransomware incident - The Record from Recorded Future News | Bajaj Auto hit by ransomware attack, operations unaffected - Autocar India | Bajaj Auto, India restores full. Live web summary: Bajaj Auto domestic sales rise 11% in June to 2.10 lakh units - ET Auto | Bajaj Auto Eyes New Manufacturing Plant In South India; Tamil Nadu And Telangana Emerge As Front-Runners - Autopunditz | Indian auto giant Bajaj Auto hit by ransomware incident - The Record from Recorded Future News | Bajaj Auto hit by ransomware attack, operations unaffected - Autocar India | Bajaj Auto, India restores full."
TVS Motor Company,OEM,Dealer & Field Service Intelligence,Warranty Analytics,8,6,11,"TVS Motor Company shows Medium warranty complexity, Medium supply chain complexity, High dealer/service complexity, Medium EV transition complexity, and Medium aftermarket opportunity.","EV and dealer network growth create opportunities for warranty and dealer intelligence. Live evidence keywords: ev, manufacturing. Recent news evidence: TVS Motor Company hits record quarterly sales of 1.63 Million - Manufacturing Today India | 'Ethanol blending done on scientific evidence, extensive testing': Industry experts defend E20 fuel - The New Indian Express | Robust overseas show helps TVS emerge top 2-wheeler company in India - The Economic Times | TVS Motor vrooms past Hero, Honda to take top slot in 2-wheeler sales - Business Standard. Live web summary: TVS Motor Company hits record quarterly sales of 1.63 Million - Manufacturing Today India | 'Ethanol blending done on scientific evidence, extensive testing': Industry experts defend E20 fuel - The New Indian Express | Robust overseas show helps TVS emerge top 2-wheeler company in India - The Economic Times | TVS Motor vrooms past Hero, Honda to take top slot in 2-wheeler sales - Business Standard."
Hero MotoCorp,OEM,Dealer & Field Service Intelligence,Warranty Analytics,8,4,12,"Hero MotoCorp shows Medium warranty complexity, Low supply chain complexity, High dealer/service complexity, Medium EV transition complexity, and High aftermarket opportunity.","Large dealer network and service base make dealer intelligence and warranty analytics relevant. Live evidence keywords: ev, supply chain, two-wheeler. Recent news evidence: Hero MotoCorp to Invest Over ₹3,200 Crore in Andhra Pradesh; New Global Parts Centre to Strengthen EV & Supply Chain Play - Autopunditz | Hero MotoCorp Invests Rs 3200 Crore in Andhra - Passionate In Marketing | India’s auto giants refute concerns of E20 damage - Business Today | Stocks To Watch Today: Maruti, NMDC, Hero MotoCorp, Coal India, Airtel In Focus - News18 | Hero MotoCorp elevates Sanja. Live web summary: Hero MotoCorp to Invest Over ₹3,200 Crore in Andhra Pradesh; New Global Parts Centre to Strengthen EV & Supply Chain Play - Autopunditz | Hero MotoCorp Invests Rs 3200 Crore in Andhra - Passionate In Marketing | India’s auto giants refute concerns of E20 damage - Business Today | Stocks To Watch Today: Maruti, NMDC, Hero MotoCorp, Coal India, Airtel In Focus - News18 | Hero MotoCorp elevates Sanja."
Eicher Motors,OEM,Dealer & Field Service Intelligence,Warranty Analytics,4,4,8,"Eicher Motors shows Medium warranty complexity, Medium supply chain complexity, Medium dealer/service complexity, Low EV transition complexity, and Medium aftermarket opportunity.","Premium products and service experience create opportunities for dealer and warranty analytics. Live evidence keywords: ev. Recent news evidence: Vikram Lal and Family: The Business Dynasty Behind Royal Enfield’s ₹90,000-Crore Fortune - Autopunditz | Eicher Motors hits record ₹50,000 crore revenue in FY26 - ET Auto | Eicher Motors and Volvo Group Establish Vehicle Financing Joint Venture in India - Autocar Professional | Volvo Group, Eicher form India financing venture - Automotive World | Five Stocks To Buy: Eternal, Trent, Eicher Motors A. Live web summary: Vikram Lal and Family: The Business Dynasty Behind Royal Enfield’s ₹90,000-Crore Fortune - Autopunditz | Eicher Motors hits record ₹50,000 crore revenue in FY26 - ET Auto | Eicher Motors and Volvo Group Establish Vehicle Financing Joint Venture in India - Autocar Professional | Volvo Group, Eicher form India financing venture - Automotive World | Five Stocks To Buy: Eternal, Trent, Eicher Motors A."
Hyundai Motor India,OEM,Supply Chain Risk Prediction,Warranty Analytics,8,10,8,"Hyundai Motor India shows Medium warranty complexity, High supply chain complexity, Medium dealer/service complexity, Medium EV transition complexity, and Medium aftermarket opportunity.","Passenger vehicle scale and EV portfolio indicate strong analytics potential. Live evidence keywords: battery, dealer, electric, ev, production, service, supplier. Recent news evidence: Hyundai Motor India Reports 51,335 Sales in June 2026 Despite Production Disruption - Autopunditz | HMIL introduces Battery-as-a-Service (BaaS) for CRETA Electric starting at INR 10.99 lakhs - hyundai.com | Hyundai Motor India posts June sales of 51,335 units despite supplier fire disruption - The Economic Times | Hyundai Motor India sales decline 10% to 39,635 units in June - ET Auto | Hyundai Mo. Live web summary: Hyundai Motor India Reports 51,335 Sales in June 2026 Despite Production Disruption - Autopunditz | HMIL introduces Battery-as-a-Service (BaaS) for CRETA Electric starting at INR 10.99 lakhs - hyundai.com | Hyundai Motor India posts June sales of 51,335 units despite supplier fire disruption - The Economic Times | Hyundai Motor India sales decline 10% to 39,635 units in June - ET Auto | Hyundai Mo."
Toyota Kirloskar Motor,OEM,Dealer & Field Service Intelligence,Warranty Analytics,6,2,8,"Toyota Kirloskar Motor shows Medium warranty complexity, Low supply chain complexity, Medium dealer/service complexity, Low EV transition complexity, and Medium aftermarket opportunity.","Quality, warranty, and dealer experience are strong analytical fit areas. Live evidence keywords: dealer, manufacturing, service. Recent news evidence: Contaminated fuel, not E20, responsible for vehicle issue: Toyota Kirloskar Motor - The Economic Times | TToyota June 2026 Sales: TKM Registers 31,016 Units, Domestic Sales Up 8% YoY - Autopunditz | Toyota Kirloskar Motor Registers 7% YoY Growth in June 2026 - ACKO Drive | 'It's A Myth': Toyota Kirloskar Top Boss Clears Air On E20 Damage, Says Fuel 'Safe For Old And New Cars' - ETV Bharat | Toyota. Live web summary: Contaminated fuel, not E20, responsible for vehicle issue: Toyota Kirloskar Motor - The Economic Times | TToyota June 2026 Sales: TKM Registers 31,016 Units, Domestic Sales Up 8% YoY - Autopunditz | Toyota Kirloskar Motor Registers 7% YoY Growth in June 2026 - ACKO Drive | 'It's A Myth': Toyota Kirloskar Top Boss Clears Air On E20 Damage, Says Fuel 'Safe For Old And New Cars' - ETV Bharat | Toyota."
