company_name,source_name,source_url,source_type,fetch_status,http_status,page_title,meta_description,headings,evidence_snippet,evidence_keywords,error
Maruti Suzuki India,Official Company Website,https://www.marutisuzuki.com,Company Information,Success,200.0,"Maruti Suzuki India Corporate - Discover Arena, NEXA cars, Commercial and True Value","Explore Maruti Suzuki India and get exclusive information on hatchbacks, sedans, SUVs, strong hybrid cars, S-CNG cars, latest offers and more. Explore channels like NEXA, Arena, Commercial and True Value.",Maruti Suzuki India Business Channels | More from Maruti Suzuki | Discover Maruti Suzuki Cars | our | Values,"Maruti Suzuki India Corporate - Discover Arena, NEXA cars, Commercial and True Value Explore Maruti Suzuki India and get exclusive information on hatchbacks, sedans, SUVs, strong hybrid cars, S-CNG cars, latest offers and more. Explore channels like NEXA, Arena, Commercial and True Value. Maruti Suzuki India Business Channels More from Maruti Suzuki Discover Maruti Suzuki Cars our Values /content/arena-eds/com/in/en/arena/victoris https://www.nexaexperience.com/e-vitara A premium, innovative and global automotive experience India’s widest and most accessible auto retail network Trusted network for buying and selling pre-owned cars Trusted partner for commercial passenger and cargo vehicles",[],
Mahindra & Mahindra,Official Company Website,https://www.mahindra.com,Company Information,Success,200.0,The Mahindra Group Official Website | Together We Rise,"A technology & innovation-led, global, federation of companies, that provides a wide range of products, services & possibilities, enabling people to Rise","Purpose Led, Performance Driven, Future Ready | CLUB MAHINDRA'S TRANSITION TO ELECTRIC | 70 LAKH TRACTORS SOLD | M.TECH AND PHD IN SUSTAINABILITY | MAHINDRA SEASON OF FESTIVALS 2026-27 | MAHINDRA BEACONHILL | SUSTAINABILITY LINKED DEALER FINANCING PROGRAM | TECH MAHINDRA GLOBAL CHESS LEAGUE","The Mahindra Group Official Website | Together We Rise A technology & innovation-led, global, federation of companies, that provides a wide range of products, services & possibilities, enabling people to Rise Purpose Led, Performance Driven, Future Ready CLUB MAHINDRA'S TRANSITION TO ELECTRIC 70 LAKH TRACTORS SOLD M.TECH AND PHD IN SUSTAINABILITY MAHINDRA SEASON OF FESTIVALS 2026-27 MAHINDRA BEACONHILL SUSTAINABILITY LINKED DEALER FINANCING PROGRAM TECH MAHINDRA GLOBAL CHESS LEAGUE MAHINDRA'S JUNE SALES PERFORMANCE ASK DAD ABOUT DAD MAHINDRA SUSTEN HONOURED Yezdi Scrambler 2026 BSA Scrambler 650 What we do WHO WE ARE: PURPOSE LED Who We Are Our Purpose Drive positive change in the lives of our communities. Only when we enable others to rise will we rise. #TogetherWeRise Purpose Led Performance Driven Future Drive positive change in the lives of our communities. Only when we enable others","['dealer', 'electric', 'mobility', 'service']",
Ashok Leyland,Google News RSS,https://news.google.com/rss/search?q=%22Ashok+Leyland%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Ashok Leyland,,"Ashok Leyland launches India’s first air suspension trucks - Automotive World | Ashok Leyland introduces India's first air suspension range of trucks - Business Standard | Ashok Leyland opens 13th LCV dealership in Gujarat with Jamnagar facility - Prittle Prattle News | Ashok Leyland launches India’s first 45T, 46T and 49T air-suspension trucks - HT Auto | India's Ashok Leyland posts record quarterly profit, revenue on strong vehicle demand - Reuters","Ashok Leyland launches India’s first air suspension trucks - Automotive World | Ashok Leyland introduces India's first air suspension range of trucks - Business Standard | Ashok Leyland opens 13th LCV dealership in Gujarat with Jamnagar facility - Prittle Prattle News | Ashok Leyland launches India’s first 45T, 46T and 49T air-suspension trucks - HT Auto | India's Ashok Leyland posts record quarterly profit, revenue on strong vehicle demand - Reuters","['dealer', 'ev']",
Maruti Suzuki India,Google News RSS,https://news.google.com/rss/search?q=%22Maruti+Suzuki+India%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Maruti Suzuki India,,"Maruti Suzuki inaugurates Kharkhoda plant in India - Automotive World | Maruti Suzuki’s ₹35,000 Crore Kharkhoda Mega Plant to be Inaugurated Today by PM Modi and Japan PM Sanae Takaichi - Autopunditz | Maruti stays on top, Tata edges past Mahindra in June PV sales race - ET Auto | Maruti Suzuki India Sales Jump 19.3% in June to 200,390 Units - Rediff MoneyWiz | Maruti Suzuki, Toyota India execs defend E20 petrol: ‘No problem in terms of wear & tear, corrosion' - livemint.com","Maruti Suzuki inaugurates Kharkhoda plant in India - Automotive World | Maruti Suzuki’s ₹35,000 Crore Kharkhoda Mega Plant to be Inaugurated Today by PM Modi and Japan PM Sanae Takaichi - Autopunditz | Maruti stays on top, Tata edges past Mahindra in June PV sales race - ET Auto | Maruti Suzuki India Sales Jump 19.3% in June to 200,390 Units - Rediff MoneyWiz | Maruti Suzuki, Toyota India execs defend E20 petrol: ‘No problem in terms of wear & tear, corrosion' - livemint.com",[],
Tata Motors,Google News RSS,https://news.google.com/rss/search?q=%22Tata+Motors%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Tata Motors,,"June 2026 car sales: Tata narrowly retains second place over Mahindra - Autocar India | Tata Motors CV Sales Grow 27% in Q1 FY27; June 2026 Volumes Surge 35% YoY - Autopunditz | Tata Motors PV sales jump 69% in June as EVs surge - MSN | Top 10 selling cars in June: Tata dominates with Punch, Nexon in lead; Maruti has 6 models as Creta drops... - Moneycontrol.com | Maruti stays on top, Tata edges past Mahindra in June PV sales race - ET Auto","June 2026 car sales: Tata narrowly retains second place over Mahindra - Autocar India | Tata Motors CV Sales Grow 27% in Q1 FY27; June 2026 Volumes Surge 35% YoY - Autopunditz | Tata Motors PV sales jump 69% in June as EVs surge - MSN | Top 10 selling cars in June: Tata dominates with Punch, Nexon in lead; Maruti has 6 models as Creta drops... - Moneycontrol.com | Maruti stays on top, Tata edges past Mahindra in June PV sales race - ET Auto",['ev'],
Mahindra & Mahindra,Google News RSS,https://news.google.com/rss/search?q=%22Mahindra+%26+Mahindra%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Mahindra & Mahindra,,"Mahindra Auto clocks 60,393 SUVs, a growth of 28% and 1,06,207 total vehicle sales, a growth of 37% in June 2026 - Mahindra | Mahindra Auto Records 28% SUV Growth, Crosses 1.06 Lakh Total Vehicle Sales in June 2026 - Autopunditz | Mahindra & Mahindra auto sales jump 37% in Jun'26 - Business Standard | Mahindra & Mahindra Ltd strategy shapes the long-term story for investors - AD HOC NEWS | Tata, Mahindra dominate India's mass electric car market as global rivals struggle to catch up - Moneycontrol.com","Mahindra Auto clocks 60,393 SUVs, a growth of 28% and 1,06,207 total vehicle sales, a growth of 37% in June 2026 - Mahindra | Mahindra Auto Records 28% SUV Growth, Crosses 1.06 Lakh Total Vehicle Sales in June 2026 - Autopunditz | Mahindra & Mahindra auto sales jump 37% in Jun'26 - Business Standard | Mahindra & Mahindra Ltd strategy shapes the long-term story for investors - AD HOC NEWS | Tata, Mahindra dominate India's mass electric car market as global rivals struggle to catch up - Moneycontrol.com",['electric'],
Bajaj Auto,Google News RSS,https://news.google.com/rss/search?q=%22Bajaj+Auto%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Bajaj Auto,,"Bajaj Auto domestic sales rise 11% in June to 2.10 lakh units - ET Auto | Bajaj Auto Eyes New Manufacturing Plant In South India; Tamil Nadu And Telangana Emerge As Front-Runners - Autopunditz | Indian auto giant Bajaj Auto hit by ransomware incident - The Record from Recorded Future News | Bajaj Auto hit by ransomware attack, operations unaffected - Autocar India | Bajaj Auto, India restores full operations after ransomware attack - marklines.com","Bajaj Auto domestic sales rise 11% in June to 2.10 lakh units - ET Auto | Bajaj Auto Eyes New Manufacturing Plant In South India; Tamil Nadu And Telangana Emerge As Front-Runners - Autopunditz | Indian auto giant Bajaj Auto hit by ransomware incident - The Record from Recorded Future News | Bajaj Auto hit by ransomware attack, operations unaffected - Autocar India | Bajaj Auto, India restores full operations after ransomware attack - marklines.com",['manufacturing'],
Tata Motors,Official Company Website,https://www.tatamotors.com,Company Information,Success,200.0,"Tata Motors – Largest Automobile Manufacturer, Biggest Automobile Company in India",,"From Vision to Velocity | Welcome to Tata Motors | Engineered for Evolution | Systems in Motion | Movement that Matters | Quality is first engineered, and then it is inspected | Our roadmap to Net Zero | United by passion and talent","Tata Motors – Largest Automobile Manufacturer, Biggest Automobile Company in India From Vision to Velocity Welcome to Tata Motors Engineered for Evolution Systems in Motion Movement that Matters Quality is first engineered, and then it is inspected Our roadmap to Net Zero United by passion and talent Corporate Responsibility Overview Planet resilience Working with communities Governance ESG Archive Working with communities Careers Overview Life @ Tata Motors Openings @ Tata Motors Saksham - Earn & Learn Program Kaushalya - Earn & Learn Program Early Career Program Openings @ Tata Motors Saksham - Earn & Learn Program Kaushalya - Earn & Learn Program India's leading name in innovative and integrated mobility solutions Guided by a rich legacy of innovation, we remain committed to a relentless pursuit of excellence—adapting to the evolving needs of mobility with purpose and precision India'","['commercial vehicle', 'customer', 'electric', 'ev', 'mobility', 'quality']",
TVS Motor Company,Google News RSS,https://news.google.com/rss/search?q=%22TVS+Motor+Company%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for TVS Motor Company,,"TVS Motor Company hits record quarterly sales of 1.63 Million - Manufacturing Today India | 'Ethanol blending done on scientific evidence, extensive testing': Industry experts defend E20 fuel - The New Indian Express | Robust overseas show helps TVS emerge top 2-wheeler company in India - The Economic Times | TVS Motor vrooms past Hero, Honda to take top slot in 2-wheeler sales - Business Standard | India's e2W market penetration races towards 10% mark; TVS, Bajaj, Ather lead June sales - ET Auto","TVS Motor Company hits record quarterly sales of 1.63 Million - Manufacturing Today India | 'Ethanol blending done on scientific evidence, extensive testing': Industry experts defend E20 fuel - The New Indian Express | Robust overseas show helps TVS emerge top 2-wheeler company in India - The Economic Times | TVS Motor vrooms past Hero, Honda to take top slot in 2-wheeler sales - Business Standard | India's e2W market penetration races towards 10% mark; TVS, Bajaj, Ather lead June sales - ET Auto","['ev', 'manufacturing']",
Hero MotoCorp,Google News RSS,https://news.google.com/rss/search?q=%22Hero+MotoCorp%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Hero MotoCorp,,"Hero MotoCorp to Invest Over ₹3,200 Crore in Andhra Pradesh; New Global Parts Centre to Strengthen EV & Supply Chain Play - Autopunditz | Hero MotoCorp Invests Rs 3200 Crore in Andhra - Passionate In Marketing | India’s auto giants refute concerns of E20 damage - Business Today | Stocks To Watch Today: Maruti, NMDC, Hero MotoCorp, Coal India, Airtel In Focus - News18 | Hero MotoCorp elevates Sanjay Singh to Deputy General Manager - afaqs!","Hero MotoCorp to Invest Over ₹3,200 Crore in Andhra Pradesh; New Global Parts Centre to Strengthen EV & Supply Chain Play - Autopunditz | Hero MotoCorp Invests Rs 3200 Crore in Andhra - Passionate In Marketing | India’s auto giants refute concerns of E20 damage - Business Today | Stocks To Watch Today: Maruti, NMDC, Hero MotoCorp, Coal India, Airtel In Focus - News18 | Hero MotoCorp elevates Sanjay Singh to Deputy General Manager - afaqs!","['ev', 'supply chain']",
