company_name,segment,warranty_complexity,supply_chain_complexity,dealer_service_complexity,ev_transition_complexity,aftermarket_opportunity,warranty_signal_score,supply_chain_signal_score,dealer_signal_score,ev_signal_score,aftermarket_signal_score
Tata Motors,OEM,Medium,Medium,Medium,Medium,Medium,3,3,3,3,2
Mahindra & Mahindra,OEM,Medium,Medium,Medium,Medium,Medium,3,3,3,2,2
Maruti Suzuki India,OEM,Medium,Low,High,Low,High,2,0,4,0,4
Ashok Leyland,OEM,Medium,Medium,High,Low,Medium,3,3,4,0,2
Bajaj Auto,OEM,Medium,High,Medium,Medium,Medium,3,4,3,2,2
TVS Motor Company,OEM,Medium,Medium,High,Medium,Medium,3,2,4,2,3
Hero MotoCorp,OEM,Medium,Low,High,Medium,High,3,1,4,2,4
Eicher Motors,OEM,Medium,Medium,Medium,Low,Medium,2,2,3,0,2
Hyundai Motor India,OEM,Medium,High,Medium,Medium,Medium,3,4,3,2,2
Toyota Kirloskar Motor,OEM,Medium,Low,Medium,Low,Medium,3,1,3,0,2
Samvardhana Motherson International,Tier-1 Supplier,Medium,High,Low,Low,Low,3,4,0,0,0
Bosch India,Tier-1 Supplier,Medium,Medium,Low,Low,Medium,2,3,1,0,3
Bharat Forge,Component Manufacturer,Low,High,Low,Low,Low,1,4,0,0,1
Uno Minda,Tier-1 Supplier,High,High,Low,Medium,Low,4,4,0,2,0
Sona BLW Precision Forgings,Component Manufacturer,High,High,Low,Medium,Low,4,5,0,2,0
Endurance Technologies,Component Manufacturer,Medium,High,Low,Low,Low,3,4,0,0,0
Varroc Engineering,Component Manufacturer,High,High,Low,Medium,Low,4,5,0,2,0
Amara Raja Energy & Mobility,Component Manufacturer,Medium,High,Medium,Medium,Medium,3,4,2,3,2
Exide Industries,Component Manufacturer,Medium,High,Medium,Low,Medium,2,4,3,1,3
Minda Corporation,Tier-1 Supplier,High,High,Low,Medium,Low,4,5,0,2,0
JBM Auto,OEM / Component Manufacturer,High,High,Medium,Medium,Low,4,4,2,2,1
Sundaram Clayton,Component Manufacturer,Medium,High,Low,Low,Low,3,4,0,0,0
Gabriel India,Component Manufacturer,Medium,High,Medium,Low,Medium,2,4,3,0,3
MRF,Component Manufacturer,Medium,Medium,Medium,Low,High,2,3,3,0,4
CEAT,Component Manufacturer,Medium,Low,Medium,Low,High,2,1,3,0,4
Ola Electric,EV OEM,High,Medium,High,Medium,Medium,4,3,4,3,2
Ather Energy,EV OEM,High,Medium,High,High,Medium,4,2,4,4,2
